Type,PostCode,Borough,Area,Positioning,Date,Time,Description,Deaths
V1,SE14,Deptford,Deptford,Arklow Road East Side,12/07/1944,16:50,40 yards of railway track were damaged. houses were demolished. A railway shed and the remainder of houses in Arklow and Kerry road were damaged.,0
V1,SE14,Deptford,New Cross,Ommaney Road/Jernigham Road W of Junction,20/07/1944,06:40,"4 houses were demolished in Ommaney Road . Property in area bounded by Jerningham Road , Pepys Road and New Cross Road suffered some damage.",1
V1,SE14,Deptford,New Cross,New Cross gate station,21/07/1944,04:50,"This V1 struck in Railway property behind Goodwood Road . 50 feet of railway track and 2 trucks suffered severe damage as did 2 empty passenger trains. Surrounding property bounded by Brocklehurst Street , New Cross Road and Goodwood Road suffered some damage.",0
V1,SE14,Deptford,New Cross,Between New Cross Road and Achillies St,01/08/1944,14:16,"A 4 floor rug factory and 5 houses were demolished. There was a small fire in the debris. All properties in Achillies Street , New Cross Road , Pagnell Street , Clifton Rise suffered severe damage. Properties in Walpole Road and Lewisham Road suffered slight damage.",8
V1,SE14,Deptford,New Cross,Troutbeck Road Halfway down,02/08/1944,06:31,4 houses were demolished. There was severe damage to 30 houses and a tram depot. Property in the area bounded by Musgrove Road and New Cross Road suffered slight damage.,4
V1,SE14,Deptford,Brockley,Millmark Grove,06/08/1944,04:09,".It demolished 16 houses and fractured a gas main. A further 80 houses suffered severe damage. Property in area bounded by Shardloes Road , Vesta Road , Endwell Road ,Brockley Cross were slightly damaged.",2
V1,SE14,Deptford,Deptford,At Milton court Road and Vansittart st junction,28/10/1944,00:00,This V1 is shown on the bomb damage maps as striking around the junction of Milton Court Road and Vansittart Street . No record can be found in the Fire Brigade logs so no further information can be provided. The amount of re-development in this area would tend to confirm a Flying Bomb strike. It may be that the V1 fell in the 1st September 1944-31stDecember 1944 period which the Fire Brigade Records are missing for. Its existence is however confirmed by a casualty record at this address on the Commonwealth War Graves web site,1
V2,SE14,Deptford,New Cross,Railway Grove Angus Street,28/10/1944,11:11,This V2 airburst over Woolwich leaving bits of debris falling onto Blackheath and then crashed to earth near New Cross Station. . Survivors and dead removed from the ruins of more than 40 houses. Visiting the area today it is totally transformed. The streets of Victorian terrace housing have totally disappeared at this point to be replaced by a recreation ground.,7
V2,SE14,Lewisham,Brockley,Corner of Shardloes and St Donatts Road,01/11/1944,18:32,This serious incident occurred when a V2 Rocket struck the corner of Shardloes and St Donatts Road .. A dozen terraced houses were destroyed and the tram track was torn up. The area today has been re-developed as a housing estate.,36
v2,SE14,Deptford,New Cross,New Cross High Street,25/11/1944,12:26,This horrific incident was the worst of the entire V weapon attacks. 168 people were killed when a V2 rocket struck the Woolworth's store in New Cross High street . The casualty total has been taken from the Woolworth's memorial web site. The whole block of buildings has been re-built and is now occupied by an Iceland and carries a memorial plaque.,168
V2,SE14,Deptford,Telegraph Hill,Kitto Road around 66.,06/01/1945,13:43,10 houses and a church were demolished and a further 20 houses suffered severe damage. Property in Gallatly Road Arbuthnot Road Pepys Road and Drakefell Road suffered slight damage.,1
V2,SE14,Deptford,New Cross,Trundle Road,07/03/1945,03:20,"This very serious incident happened when a V2 Rocket fell between two blocks of flats called Folkestone Gardens in Trundle Road . Both blocks of flats were destroyed as were 5 houses. There were 2 small fires. All property in area Sanford st, Knoyle st,rolt st slight damage. 10 shops and houses in trundleys rd severe damage. 8 railway arches used as spinning mills slight damage .The Folkestone Gardens flats belonged to the Southern Railway most if not all of the casualties were railway employees or their dependents. The site today is a small park.",53
V1,SE15,Dulwich/Camberwell,Nunhead,Gibbon road senate street junction,15/06/1944,23:45,The V1 is clearly shown on the bomb damage maps but there is no corresponding fire brigade report. The date was confirmed from Dulwich and Camberwell ARP records. The extent of the damage is not known although the impact site is clearly defined from the extensive re-development at this point.,4
V1,SE15,Dulwich/Camberwell,Peckham,Reddens Road/Unwin Road,18/06/1944,08:30,It is noted that primary impact point was the South Metropolitan gas company.,4
V1,SE15,Dulwich/Camberwell,Peckham,Nunhead Lane/Peckham Rye junction SE quadrant,22/06/1944,08:50,"This serious incident occurred when the V1 struck at around 105 Peckham rye. 105 was demolished and 107-119 suffered severe damage. All buildings in area bounded by Peckham rye, Solomans passage, Arden road, Nunhead lane, Old James St , Whorlton road slight damage + small fire in debris. One of the buildings that was destroyed was a corset manufactures and many of the victims seem to have been young female workers.",23
V1,SE15,Dulwich/Camberwell,Nunhead,Between Hollydale Road and Stanbury Road,23/06/1944,02:12,"50 private houses damaged in Hollydale Road , surrounding property in St Mary's,Stanly and Lugard Roads slightly damaged by blast.",3
V1,SE15,Dulwich/Camberwell,Nunhead,Between Banstead Road and Nunhead Grove,26/06/1944,16:00,"4 houses damaged in Banstead Road . Property in the boundaries of Linden Grove, Evelina Road and Nunhead Lane slightly damaged",2
