"ref", "position", "fatalities", "date", "time", "postcode", "borough", "area", "notes"
"p174, Rosehill Road"
"p174, Borrodaile Road"
"p174, St Ann's Hill"
"p174, St Ann's Hill"
"p175, Jessica Road"
"p175, Spencer Park"
"p175, Plough Terrace"
"p175, Battersea Rise"
"p175, Mossbury Road"
"p175, Elspeth Road"
"p175, Wakehurst Road"
"p175, Honeywell Road", "Honeywell Road Between Honeywell and Broomwood Road : Norhcross road junction", "6", "23/06/1944", "18:55", "SW11", "Battersea", "Battersea", "V1 destroyed 8 houses and badly damaged a further 20"
"p176, Sisters Avenue"
"p176, Devereux Road"
"p176, Clapham Common", "Clapham Common West side", "0", "03/08/1944", "03:12", "SW4", "Lambeth", "Clapham", "V1 on open ground on Clapham Common. Slight damage to surrounding property."
"p176, Clapham Common", "Clapham Common", "1", "22/06/1944", "08:45", "SW4", "Lambeth", "Clapham", "V1 fell on open ground on Clapham Common, some damage to surrounding properties."
"p176, Windmill Drive", "Clapham common at mount pond", "0", "17/06/1944", "18:35", "SW4", "Lambeth", "Clapham", "V1 fell on Clapham Common near Mount Pond. No damage is reported"
"p177, Clapham Common", "Clapham Common South Side", "0", "21/06/1944", "01:45", "SW4", "Lambeth", "Clapham", "The V1 fell on the South side of Clapham Common. Some damage to surrounding property"
"p177, Lessar Avenue", "Lesser Avenue Position between Lessar and Cautley avenues half way up", "2", "13/07/1944", "10:55", "SW4", "Lambeth", "Clapham", "The V1 struck Lesser Avenue and demolished 20 houses and caused severe damage to 20 others. There was a small fire in the debris."
"p177, Trouville Road", "Cavendish Road/Trouville Road", "0", "19/07/1944", "01:31", "SW4", "Lambeth", "Clapham", "The V1 fell in Cavendish Road and demolished 6 houses and caused severe damage to 20 others. The area has been re-developed with a housing estate"
"p177, Gaskarth Road"
"p177, Grafton Square"
"p177, Sandmere Road", "Sandmere Road", "0", "01/07/1944", "14:10", "SW4", "Lambeth", "Clapham", "The 2nd of 2 V1's that fell in this area. Very little details were recorded. The area has been totally re-developed as a housing estate."
"p177, Kepler Road", "Kepler Road", "7", "25/06/1944", "03:56", "SW4", "Lambeth", "Clapham", "One of 2 V1's that fell in this area. 12 houses were demolished in Kepler Road, 20 badly damaged in Kepler Road and 12 in Solon New Road. The area has been totally re-developed as a housing estate"
"p177, Kildoran Road"
"p177, Kings Avenue", "Kings Avenue at Clarence road junction", "3", "27/07/1944", "01:44", "SW4", "Lambeth", "Clapham", "The V1 fell at the junction of Kings Avenue and Clarence Road. It demolished 12 flats and 40 houses and also caused much damage to Queenswood court. This building has tell tale metal window frames which were installed as replacements."
"p178, Acre Lane", "Acre Lane by Town Hall", "25", "28/06/1944", "12:49", "SW2", "Lambeth", "Brixton", "This very serious incident occurred when the V1 struck a row of shops/buildings opposite the Town Hall in Acre Lane. One of the buildings was being used as a rest centre for people who had previously been forced out of their homes by Flying bombs. As well as the rest centre 10 houses and shops were demolished and 20 houses damaged. Lambeth Town Hall, a modern building, clearly stood up well to the blast and no structural damage can be detected. However careful inspection will reveal that the Windows frames down the side of the Acre Lane side of the town hall are in a slightly different style to elsewhere in the building and must have been completely blown out. On the other side of the road the sight of the rest centre and shops has been replaced with 1960's style new shops filling the gap."
"p178, Baytree Road", "Between Baytree and Sudbourne Road", "3", "01/07/1944", "03:49", "SW2", "Lambeth", "Brixton", "The V1 struck between Baytree and Sudbourne Road. 20 houses were demolished and 40 very badly damaged. The area has been re-developed with post war flats."
"p178, Trelawn Road", "Trelawn Road Half way up South side", "11", "04/07/1944", "18:00", "SW2", "Lambeth", "Brixton", "The V1 hit The South side of Trelawn road.11 houses were demolished and 40 badly damaged in both Trelawn and Morval Roads. The gap in the line of housing can still be seen. In Morval road the in-filling in now being rebuilt for a second time since the war time demolition"
