"Name","Description","ref","position","fatalities","date","time","postcode","borough","area","notes"
"V1.554","p173, Wandsworth Park","p173, Wandsworth Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.555","p173, Portinscale Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.556","p173, Lebanon Road","p173, Lebanon Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.557","p174, Acris Street","p174, Acris Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.558","p174, Rosehill Road","p174, Rosehill Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.559","p174, Borrodaile Road","p174, Borrodaile Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.560","p174, St Ann's Hill","p174, St Ann's Hill",NA,NA,NA,NA,NA,NA,NA,NA
"V1.561","p174, St Ann's Hill","p174, St Ann's Hill",NA,NA,NA,NA,NA,NA,NA,NA
"V1.562","p175, Jessica Road","p175, Jessica Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.563","p175, Spencer Park","p175, Spencer Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.564","p175, Plough Terrace","p175, Plough Terrace",NA,NA,NA,NA,NA,NA,NA,NA
"V1.565","p175, Battersea Rise","p175, Battersea Rise",NA,NA,NA,NA,NA,NA,NA,NA
"V1.566","p175, Mossbury Road","p175, Mossbury Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.567","p175, Elspeth Road","p175, Elspeth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.568","p175, Wakehurst Road","p175, Wakehurst Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.569","p175, Honeywell Road","p175, Honeywell Road","Honeywell Road Between Honeywell and Broomwood Road : Norhcross road junction",6,"23/06/1944",18:55:00,"SW11","Battersea","Battersea","V1 destroyed 8 houses and badly damaged a further 20"
"V1.570","p176, Sisters Avenue","p176, Sisters Avenue",NA,NA,NA,NA,NA,NA,NA,NA
"V1.571","p176, Devereux Road","p176, Devereux Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.572","p176, Clapham Common","p176, Clapham Common","Clapham Common West side",0,"03/08/1944",03:12:00,"SW4","Lambeth","Clapham","V1 on open ground on Clapham Common. Slight damage to surrounding property."
"V1.573","p176, Clapham Common","p176, Clapham Common","Clapham Common",1,"22/06/1944",08:45:00,"SW4","Lambeth","Clapham","V1 fell on open ground on Clapham Common, some damage to surrounding properties."
"V1.574","p176, Windmill Drive","p176, Windmill Drive","Clapham common at mount pond",0,"17/06/1944",18:35:00,"SW4","Lambeth","Clapham","V1 fell on Clapham Common near Mount Pond. No damage is reported"
"V1.575","p177, Clapham Common","p177, Clapham Common","Clapham Common South Side",0,"21/06/1944",01:45:00,"SW4","Lambeth","Clapham","The V1 fell on the South side of Clapham Common. Some damage to surrounding property"
"V1.576","p177, Lessar Avenue","p177, Lessar Avenue","Lesser Avenue Position between Lessar and Cautley avenues half way up",2,"13/07/1944",10:55:00,"SW4","Lambeth","Clapham","The V1 struck Lesser Avenue and demolished 20 houses and caused severe damage to 20 others. There was a small fire in the debris."
"V1.577","p177, Trouville Road","p177, Trouville Road","Cavendish Road/Trouville Road",0,"19/07/1944",01:31:00,"SW4","Lambeth","Clapham","The V1 fell in Cavendish Road and demolished 6 houses and caused severe damage to 20 others. The area has been re-developed with a housing estate"
"V1.578","p177, Gaskarth Road","p177, Gaskarth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.579","p177, Grafton Square","p177, Grafton Square",NA,NA,NA,NA,NA,NA,NA,NA
"V1.580","p177, Sandmere Road","p177, Sandmere Road","Sandmere Road",0,"01/07/1944",14:10:00,"SW4","Lambeth","Clapham","The 2nd of 2 V1's that fell in this area. Very little details were recorded. The area has been totally re-developed as a housing estate."
"V1.581","p177, Kepler Road","p177, Kepler Road","Kepler Road",7,"25/06/1944",03:56:00,"SW4","Lambeth","Clapham","One of 2 V1's that fell in this area. 12 houses were demolished in Kepler Road, 20 badly damaged in Kepler Road and 12 in Solon New Road. The area has been totally re-developed as a housing estate"
"V1.582","p177, Kildoran Road","p177, Kildoran Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.583","p177, Kings Avenue","p177, Kings Avenue","Kings Avenue at Clarence road junction",3,"27/07/1944",01:44:00,"SW4","Lambeth","Clapham","The V1 fell at the junction of Kings Avenue and Clarence Road. It demolished 12 flats and 40 houses and also caused much damage to Queenswood court. This building has tell tale metal window frames which were installed as replacements."
"V1.584","p178, Acre Lane","p178, Acre Lane","Acre Lane by Town Hall",25,"28/06/1944",12:49:00,"SW2","Lambeth","Brixton","This very serious incident occurred when the V1 struck a row of shops/buildings opposite the Town Hall in Acre Lane. One of the buildings was being used as a rest centre for people who had previously been forced out of their homes by Flying bombs. As well as the rest centre 10 houses and shops were demolished and 20 houses damaged. Lambeth Town Hall, a modern building, clearly stood up well to the blast and no structural damage can be detected. However careful inspection will reveal that the Windows frames down the side of the Acre Lane side of the town hall are in a slightly different style to elsewhere in the building and must have been completely blown out. On the other side of the road the sight of the rest centre and shops has been replaced with 1960's style new shops filling the gap."
"V1.585","p178, Baytree Road","p178, Baytree Road","Between Baytree and Sudbourne Road",3,"01/07/1944",03:49:00,"SW2","Lambeth","Brixton","The V1 struck between Baytree and Sudbourne Road. 20 houses were demolished and 40 very badly damaged. The area has been re-developed with post war flats."
"V1.586","p178, Trelawn Road","p178, Trelawn Road","Trelawn Road Half way up South side",11,"04/07/1944",18:00:00,"SW2","Lambeth","Brixton","The V1 hit The South side of Trelawn road.11 houses were demolished and 40 badly damaged in both Trelawn and Morval Roads. The gap in the line of housing can still be seen. In Morval road the in-filling in now being rebuilt for a second time since the war time demolition"
"V1.587","p178, Brixton Water Lane","p178, Brixton Water Lane","Brixton water Lane/St Matthews Road",6,"05/07/1944",00:42:00,"SW2","Lambeth","Brixton","The V1 struck at the junction of Water Lane And St Matthew Road. 10 houses were demolished and 30 damaged. The area today has been totally re-developed so it is not possible to ascertain the impact site"
"V1.588","p178, Dumbarton Road","p178, Dumbarton Road","Lyham Road by Dumbarton Road",5,"18/06/1944",12:45:00,"SW2","Lambeth","Brixton","This V1 fell in Lyham Road between the Wall of Brixton prison and Dumbarton Road. 8 houses were demolished and 30 badly damaged."
"V1.589","p178, Beechdale Road","p178, Beechdale Road","SE end of Beechdale Road",9,"23/06/1944",16:46:00,"SW2","Lambeth","Brixton","The V1 fell at the South East end of Beechdale Road totally demolishing 12 houses and badly damaging 20. A further 12 were damaged in Endymion road."
"V1.590","p179, Effra Parade","p179, Effra Parade","Junction Effra Parade/Dalberg Road",2,"19/07/1944",04:06:00,"SW2","Lambeth","Brixton","The V1 divested the area around the Effra Parad/Dalberg Road junction. 12 houses were demolished and 40 badly damaged. The area today has been totally re-developed with flats."
"V1.591","p179, Brockwell Park","p179, Brockwell Park","Brockwell Park",0,"13/07/1944",17:48:00,"SW2","Lambeth","Herne Hill","The V1 fell in Brockwell Park. No casualties were reported by the Fire Brigade an Open air Theatre and 50 houses were damaged by the blast."
"V1.592","p179, Shakespeare Road","p179, Shakespeare Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.593","p179, Sunset Road","p179, Sunset Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.594","p179, Carver Road","p179, Carver Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.595","p179, Stradella Road","p179, Stradella Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.596","p180, Dulwich Grove","p180, Dulwich Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.597","p180, Dulwich Grove","p180, Dulwich Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.598","p180, Dulwich Grove","p180, Dulwich Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.599","p180, Dulwich Grove","p180, Dulwich Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.600","p180, Dulwich Grove","p180, Dulwich Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.601","p180, Lordship Lane","p180, Lordship Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.602","p181, Shawbury Road","p181, Shawbury Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.603","p181, Kinsale Road","p181, Kinsale Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.604","p181, Peckham Rye","p181, Peckham Rye",NA,NA,NA,NA,NA,NA,NA,NA
"V1.605","p181, Peckham Rye","p181, Peckham Rye",NA,NA,NA,NA,NA,NA,NA,NA
"V1.606","p181, Nunhead Grove","p181, Nunhead Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.607","p181, Crystal Palace Road","p181, Crystal Palace Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.608","p181, Hindmans Road","p181, Hindmans Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.609","p181, Henslowe Road","p181, Henslowe Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.610","p181, Underhill Road","p181, Underhill Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.611","p181, Mundania Road","p181, Mundania Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.612","p182, Rye Hill Park","p182, Rye Hill Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.613","p182, Reynolds Road","p182, Reynolds Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.614","p182, Ivydale Road","p182, Ivydale Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.615","p182, Avignon Road","p182, Avignon Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.616","p182, St Norbert Road","p182, St Norbert Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.617","p182, Nash Road","p182, Nash Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.618","p182, Iverton Road","p182, Iverton Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.619","p182, Fernholme Road","p182, Fernholme Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.620","p182, Honor Oak","p182, Honor Oak",NA,NA,NA,NA,NA,NA,NA,NA
"V1.621","p182, Crofton Park","p182, Crofton Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.622","p182, Buckthorne Road","p182, Buckthorne Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.623","p183, Arica Road","p183, Arica Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.624","p183, Braxfield Road","p183, Braxfield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.625","p183, Whitbread Road","p183, Whitbread Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.626","p183, Whitbread Road","p183, Whitbread Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.627","p183, Dalrymple Road","p183, Dalrymple Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.628","p183, Deptford Cemetery","p183, Deptford Cemetery",NA,NA,NA,NA,NA,NA,NA,NA
"V1.629","p183, Breakspears Road","p183, Breakspears Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.630","p183, Hilly Fields","p183, Hilly Fields",NA,NA,NA,NA,NA,NA,NA,NA
"V1.631","p183, Nuding Close","p183, Nuding Close",NA,NA,NA,NA,NA,NA,NA,NA
"V1.632","p183, Ladywell","p183, Ladywell",NA,NA,NA,NA,NA,NA,NA,NA
"V1.633","p183, Otford Crescent","p183, Otford Crescent",NA,NA,NA,NA,NA,NA,NA,NA
"V1.634","p183, Crofton Park Road","p183, Crofton Park Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.635","p183, Ewhurst Road","p183, Ewhurst Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.636","p184, Algernon Road","p184, Algernon Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.637","p184, Brookbank Road","p184, Brookbank Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.638","p184, Elmira Street","p184, Elmira Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.639","p184, Lewis Grove","p184, Lewis Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.640","p184, Veda Road","p184, Veda Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.641","p184, Ermine Road","p184, Ermine Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.642","p184, Marsala Road","p184, Marsala Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.643","p184, Ladywell","p184, Ladywell",NA,NA,NA,NA,NA,NA,NA,NA
"V1.644","p184, Ladywell","p184, Ladywell",NA,NA,NA,NA,NA,NA,NA,NA
"V1.645","p184, Lewisham Park","p184, Lewisham Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.646","p184, Thornford Road","p184, Thornford Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.647","p184, George Lane","p184, George Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.648","p185, Blessington Road","p185, Blessington Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.649","p185, Blessington Road","p185, Blessington Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.650","p185, Mercator Road","p185, Mercator Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.651","p185, Leahurst Road","p185, Leahurst Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.652","p185, Lenham Road","p185, Lenham Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.653","p185, Meadowcourt Road","p185, Meadowcourt Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.654","p185, Springbank Road","p185, Springbank Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.655","p185, Fernbrook Road","p185, Fernbrook Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.656","p186, Manor Way","p186, Manor Way",NA,NA,NA,NA,NA,NA,NA,NA
"V1.657","p186, Kidbrooke","p186, Kidbrooke",NA,NA,NA,NA,NA,NA,NA,NA
"V1.658","p186, Kidbrooke","p186, Kidbrooke",NA,NA,NA,NA,NA,NA,NA,NA
"V1.659","p186, Quaggy River","p186, Quaggy River",NA,NA,NA,NA,NA,NA,NA,NA
"V1.660","p186, Quaggy River","p186, Quaggy River",NA,NA,NA,NA,NA,NA,NA,NA
"V1.661","p187, Kidbrooke","p187, Kidbrooke",NA,NA,NA,NA,NA,NA,NA,NA
"V1.662","p187, Birdbrook Road","p187, Birdbrook Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.663","p187, Brenley Gardens","p187, Brenley Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.664","p187, Whinyates Road","p187, Whinyates Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.665","p188, Eltham","p188, Eltham",NA,NA,NA,NA,NA,NA,NA,NA
"V1.666","p188, Eltham Hill","p188, Eltham Hill",NA,NA,NA,NA,NA,NA,NA,NA
"V1.667","p189, Rochester Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.668","p189, Rochester Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.669","p189, Crown Woods Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.670","p189, Bexley Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.671","p189, Eltham",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.672","p191, Kingston Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.673","p192, Putney Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.674","p192, Putney Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.675","p192, Putney Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.676","p192, Princes Way",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.677","p193, Albert Drive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.678","p193, Kimber Road","p193, Kimber Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.679","p193, Bur Road","p193, Bur Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.680","p193, Burr Road","p193, Burr Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.681","p194, Duntshill Road","p194, Duntshill Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.682","p194, Penwith Road","p194, Penwith Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.683","p194, Summerley Street","p194, Summerley Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.684","p194, Franche Court Road","p194, Franche Court Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.685","p194, Wilna Road","p194, Wilna Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.686","p194, Furmage Street","p194, Furmage Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.687","p194, Openview","p194, Openview",NA,NA,NA,NA,NA,NA,NA,NA
"V1.688","p195, Openview","p195, Openview",NA,NA,NA,NA,NA,NA,NA,NA
"V1.689","p195, Brightman Road","p195, Brightman Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.690","p195, Earlsfield","p195, Earlsfield",NA,NA,NA,NA,NA,NA,NA,NA
"V1.691","p195, Lyford Road","p195, Lyford Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.692","p195, Wandsworth Common","p195, Wandsworth Common",NA,NA,NA,NA,NA,NA,NA,NA
"V1.693","p195, Nightingale Lane","p195, Nightingale Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.694","p195, Sarsfeld Road","p195, Sarsfeld Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.695","p195, Boundaries Road","p195, Boundaries Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.696","p196, Gobsberton Road","p196, Gobsberton Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.697","p196, Boundaries Road","p196, Boundaries Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.698","p196, Mayford Road","p196, Mayford Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.699","p196, Mayford Road","p196, Mayford Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.700","p196, Blandfield Road","p196, Blandfield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.701","p196, Rinaldo Road","p196, Rinaldo Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.702","p196, Balham Station Road","p196, Balham Station Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.703","p196, Fernlea Road","p196, Fernlea Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.704","p196, Elmfield Road","p196, Elmfield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.705","p196, Cloudesdale Road","p196, Cloudesdale Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.706","p196, Balham High Road","p196, Balham High Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.707","p196, Streathbourne Road","p196, Streathbourne Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.708","p196, Huron Road","p196, Huron Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.709","p197, Fontenoy Road","p197, Fontenoy Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.710","p197, Emmanuel Road","p197, Emmanuel Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.711","p197, Hoadly Road","p197, Hoadly Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.712","p197, Bellasis Avenue","p197, Bellasis Avenue","Bellasis Avenue",0,"13/08/1944",07:57:00,"SW2","Wandsworth","Streatham","21 people were injured by this V1 strike. It demolished 14 houses in Bellasis Avenue and badly damaged 50 in Bellasis Avenue,Criefell Avenue and Thornton Avenue. The road has been totally re-developed with 60's housing"
"V1.713","p197, Barrhill Road","p197, Barrhill Road","Streatham Hill Corner of Barhill Road",1,"03/07/1944",06:36:00,"SW2","Wandsworth","Streatham","The V1 struck the Streatham Hill theatre on the Barhill road side. It was partly demolished and surrounding property was badly damaged. The Theatre was re-built and is currently in use as a bingo hall. The re-built flank wall clearly shows the scars of the V1"
"V1.714","p197, Atkins Road","p197, Atkins Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.715","p197, Atkins Avenue","p197, Atkins Avenue",NA,NA,NA,NA,NA,NA,NA,NA
"V1.716","p197, Montrell Road","p197, Montrell Road","Streatham Place corner Montell[sic] Road",0,"09/08/1944",06:54:00,"SW2","Wandsworth","Streatham","The V1 injured 24 people. 3 houses were demolished and 30 badly damaged in Montrell Road. 3 were demolished and 20 damaged in Tierney Road. A further 3 were demolished and 20 damaged in Streatham Place. Today post war housing fills the site but the tell tale signs of blanked off gable ends of once terraces housing is clear to see."
"V1.717","p198, Holmewood Gardens","p198, Holmewood Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.718","p198, Streatham Hill","p198, Streatham Hill","Streatham Hill/Opposite end of Wyatt Park Road",0,"24/06/1944",00:38:00,"SW2","Wandsworth","Streatham","The V1 struck in the Streatham High Road opposite the end of Wyatt Park Road.A number of shops, flats and private houses were badly damaged. Looking at the flats opposite the end of Wyatt Park Road you can see the main impact site of the V1 where a V shaped wedge has been taken from the building and then patched up with a slightly different coloured brickwork."
"V1.719","p198, Barcombe Avenue","p198, Barcombe Avenue","Barcombe Avenue West end North Side",4,"28/06/1944",01:15:00,"SW2","Wandsworth","Streatham","The V1 impacted on the North side of Barcombe Avenue a short way up from Streatham High Road. 3 houses were totally demolished and a number badly damaged on both sides of the road. Post war housing can be seen on both side of the road here, indicating the impact site and interrupting the line of the normal style of housing seen in the ABC roads in Streatham"
"V1.720","p198, Downton Avenue","p198, Downton Avenue","Downton Avenue West End North side North side towards Streatham High Road",5,"18/06/1944",01:07:00,"SW2","Wandsworth","Streatham","This V1 fell on the North side of Downton Avenue a short way up from Streatham High Road. 10 houses were demolished and 17 severely damaged. Lesser damage across a wide area. The houses have been re-built to match undamaged counterparts. The only difference that can be detected is that the flank walls display the fact that they have been built using a red-brick common in the 40's, the originals used London stock yellow bricks for the same walls."
"V1.721","p198, Daysbrook Road","p198, Daysbrook Road","Daysbrook Road/Corner Wavertree Road",1,"27/07/1944",22:57:00,"SW2","Wandsworth","Streatham","The V1 badly damaged the girls school at the Wavertree Road/Daysbrook Road junction. 10 house were demolished and 20 badly damaged in Daysbrook Road. 2 were demolished and 10 badly damaged in Wavertree Road. The damage area extended right down Daysbrook Road, including number 2 slightly damaged where I lived for 6 years from 1990. The school has been re-built and carries a plaque which commemorates the event. The demolished houses in Daysbrook Road have been replaced with 60's housing, further down the frontages of the remaining Victorian houses show signs of significant re-building."
"V1.722","p198, Amesbury Avenue","p198, Amesbury Avenue","Amesbury Avenue Junction with Hillside Road",4,"29/06/1944",10:49:00,"SW2","Wandsworth","Streatham","The V1 struck at the junction of Amesbury Road and Hillside Road. 10 houses were totally demolished and a large number badly damaged. The area around the impact site has been extensively re-developed with post war housing and shops"
"V1.723","p198, Kingsmead Road","p198, Kingsmead Road","Kingsmead Road just north of Bend",0,"03/07/1944",18:43:00,"SW2","Lambeth","Tulse Hill","The V1 struck in Kingsmead road just short of the sharp bend. 2 houses were totally demolished and 40 others very badly damaged."
"V1.724","p198, Lanercost Road","p198, Lanercost Road","Christchurch Road/LanercostRoad/ Hillside Road",6,"22/06/1944",05:15:00,"SW2","Lambeth","Tulse Hill","The V1 fell between Christchurch and Lanercost Road a short way up from the junction with Hillside road. .. 6 houses were demolished and 20 very badly damaged. Today the line of large Victorian houses in Christchurch road is interrupted by post war housing development which extend back into Lanercost road."
"V1.725","p198, Tulse Hill","p198, Tulse Hill","Tulse Hill/Abbots park junction",0,"16/07/1944",00:13:00,"SW2","Lambeth","Tulse Hill","The V1 demolished 4 houses on Tulse Hill in the area of the post war St Martins Estate A further 30 were badly damaged. No casualties were reported by the Fire Brigade."
"V1.726","p199, Brockwell Park","p199, Brockwell Park","Brockwell Park",0,"27/06/1944",04:25:00,"SW2","Lambeth","Brixton","The V1 fell in open space in Brockwell Park. No casualties are reported by the Fire Brigade but some damage to surrounding buildings is noted."
"V1.727","p199, Guernsey Grove","p199, Guernsey Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.728","p199, Rosendale Road","p199, Rosendale Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.729","p199, Lovelace Road","p199, Lovelace Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.730","p199, Rosendale Road","p199, Rosendale Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.731","p199, Avenue Park Road","p199, Avenue Park Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.732","p199, York Hill","p199, York Hill",NA,NA,NA,NA,NA,NA,NA,NA
"V1.733","p199, Elmworth Grove","p199, Elmworth Grove",NA,NA,NA,NA,NA,NA,NA,NA
"Point 734","p199, Croxted Road","p199, Croxted Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.735","p200, Burbage Road","p200, Burbage Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.736","p200, Gallery Road","p200, Gallery Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.737","p200, Dulwich Park","p200, Dulwich Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.738","p200, Dulwich Park","p200, Dulwich Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.739","p200, College Road","p200, College Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.740","p200, Dulwich","p200, Dulwich",NA,NA,NA,NA,NA,NA,NA,NA
"V1.741","p200, Dulwich College","p200, Dulwich College",NA,NA,NA,NA,NA,NA,NA,NA
"V1.742","p200, Park Hall Road","p200, Park Hall Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.743","p200, Park Hall Road","p200, Park Hall Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.744","p201, Lordship Lane","p201, Lordship Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.745","p201, Lordship Lane","p201, Lordship Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.746","p201, Lordship Lane","p201, Lordship Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.747","p201, Dunstans Road","p201, Dunstans Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.748","p201, Camberwell Cemetery","p201, Camberwell Cemetery",NA,NA,NA,NA,NA,NA,NA,NA
"V1.749","p201, Ringmore Rise","p201, Ringmore Rise",NA,NA,NA,NA,NA,NA,NA,NA
"V1.750","p201, Horniman Drive","p201, Horniman Drive",NA,NA,NA,NA,NA,NA,NA,NA
"V1.751","p201, Wood Vale","p201, Wood Vale",NA,NA,NA,NA,NA,NA,NA,NA
"V1.752","p201, Lapse Wood Walk","p201, Lapse Wood Walk",NA,NA,NA,NA,NA,NA,NA,NA
"V1.753","p201, Dulwich Golf Course","p201, Dulwich Golf Course",NA,NA,NA,NA,NA,NA,NA,NA
"V1.754","p201, Dulwich Golf Course","p201, Dulwich Golf Course",NA,NA,NA,NA,NA,NA,NA,NA
"V1.755","p201, Thorpewood Avenue","p201, Thorpewood Avenue",NA,NA,NA,NA,NA,NA,NA,NA
"V1.756","p201, Thorpewood Avenue","p201, Thorpewood Avenue",NA,NA,NA,NA,NA,NA,NA,NA
"V1.757","p201, Taymount Rise","p201, Taymount Rise",NA,NA,NA,NA,NA,NA,NA,NA
"V1.758","p202, Boveney Road","p202, Boveney Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.759","p202, Honor Oak Road","p202, Honor Oak Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.760","p202, Ewelme Road","p202, Ewelme Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.761","p202, Garthorne Road","p202, Garthorne Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.762","p202, Brockley Rise","p202, Brockley Rise",NA,NA,NA,NA,NA,NA,NA,NA
"V1.763","p202, Stanstead Road","p202, Stanstead Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.764","p202, Forest Hill Station","p202, Forest Hill Station",NA,NA,NA,NA,NA,NA,NA,NA
"V1.765","p202, Clyde Terrace","p202, Clyde Terrace",NA,NA,NA,NA,NA,NA,NA,NA
